Stationsname,Jahr,Monat,JahrMonat,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Köfering,2025,11,2025-11,4,98.7,287.0,263.33,263.33
Köfering,2025,12,2025-12,2,5.53,50.0,32.0,32.0
Köfering,2026,1,2026-01,1,2.8,29.0,16.39,16.39
Köfering,2026,2,2026-02,6,87.66,1022.0,363.67,363.67
Köfering,2026,3,2026-03,8,42.0,992.0,381.32,190.66
Köfering,2026,4,2026-04,12,0.0,872.0,402.15000000000003,0.0
Köfering,2026,5,2026-05,4,0.0,375.0,113.02,0.0
Köfering,2026,6,2026-06,4,0.0,996.0,0.0,0.0
Laaber,2025,1,2025-01,20,52.82,1121.0,430.42,375.56
Laaber,2025,2,2025-02,30,84.9,1454.0,613.4,554.22
Laaber,2025,3,2025-03,9,21.990000000000002,322.0,153.89,110.28999999999999
Laaber,2025,4,2025-04,11,27.95,524.0,213.97,123.97
Laaber,2025,5,2025-05,8,15.82,149.0,145.82,125.82
Laaber,2025,6,2025-06,7,21.13,241.0,123.0,80.5
Laaber,2025,7,2025-07,14,21.689999999999998,335.0,155.78,148.26
Laaber,2025,8,2025-08,6,8.68,75.0,49.59,49.59
Laaber,2025,9,2025-09,9,85.7,398.0,278.21,268.21
Laaber,2025,10,2025-10,11,24.72,237.0,133.41,133.41
Laaber,2025,11,2025-11,10,16.85,180.0,107.37,90.15
Laaber,2025,12,2025-12,18,62.510000000000005,479.0,330.96,290.96
Laaber,2026,1,2026-01,14,33.24,429.0,208.15,182.65
Laaber,2026,2,2026-02,15,49.03,603.0,282.08,272.08
Laaber,2026,3,2026-03,40,34.03,1008.0,437.54,203.77
Laaber,2026,4,2026-04,13,0.0,1003.0,354.13,0.0
Laaber,2026,5,2026-05,8,0.0,232.0,121.80000000000001,0.0
Laaber,2026,6,2026-06,8,0.0,502.0,0.0,0.0
Lappersdorf,2025,1,2025-01,6,21.96,289.0,131.37,35.39
Lappersdorf,2025,2,2025-02,14,75.03999999999999,919.0,409.40000000000003,269.78000000000003
Lappersdorf,2025,3,2025-03,10,39.07,430.0,227.34,133.58
Lappersdorf,2025,4,2025-04,6,24.51,207.0,118.83,90.69
Lappersdorf,2025,5,2025-05,7,45.019999999999996,689.0,269.49,259.49
Lappersdorf,2025,6,2025-06,11,91.87,798.0,370.88,350.88
Lappersdorf,2025,7,2025-07,12,42.519999999999996,416.0,229.93,199.93
Lappersdorf,2025,8,2025-08,8,46.6,469.0,228.94,218.94
